taster_name,taster_twitter_handle
,
,
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
,
,
Paul Gregutt,@paulgwine
,
,
,
,
Roger Voss,@vossroger
,
Roger Voss,@vossroger
,
,
Susan Kostrzewa,@suskostrzewa
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Paul Gregutt,@paulgwine
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
,
,
Joe Czerwinski,@JoeCz
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
,
Paul Gregutt,@paulgwine
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Paul Gregutt,@paulgwine
Roger Voss,@vossroger
,
,
Paul Gregutt,@paulgwine
,
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Virginie Boone,@vboone
Paul Gregutt,@paulgwine
Michael Schachner,@wineschach
Kerin O’Keefe,@kerinokeefe
Mike DeSimone,@worldwineguys
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Virginie Boone,@vboone
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Paul Gregutt,@paulgwine
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Susan Kostrzewa,@suskostrzewa
,
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Virginie Boone,@vboone
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Roger Voss,@vossroger
Virginie Boone,@vboone
Paul Gregutt,@paulgwine
Virginie Boone,@vboone
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Roger Voss,@vossroger
